leaf_dist,anc_dist,leaf_brlen,anc_brlen
3.548706940594702814e+02,0.000000000000000000e+00,2.682669852805195205e+02,0.000000000000000000e+00
2.598019936352202990e+02,8.660370877895076092e+01,2.446673436361199947e+02,1.627250120118037557e+01
6.742290630945751673e+01,1.017383587780510652e+02,6.742290630945751673e+01,8.624993865666965576e-01
1.374450551306995294e+02,1.008758593914843686e+02,1.374450551306995294e+02,6.863189619844717981e+00
1.681994506168996963e+02,9.401266977163965066e+01,1.079044935862550574e+02,7.408960992688889746e+00
6.181579573492493296e+01,1.543076268022842896e+02,6.181579573492493296e+01,6.029495703064463896e+01
1.463794798773642754e+02,7.033120757777038534e+01,1.147007050642137358e+02,9.964945294438848578e+00
8.585686158154743453e+01,1.020099823909209249e+02,8.585686158154743453e+01,6.436738565498728804e+00
1.147414810189410161e+02,9.557324382542219610e+01,1.147414810189410161e+02,3.054300631301941849e+00
1.092866415247514169e+02,9.251894319412025425e+01,1.092866415247514169e+02,2.218773561634986891e+01
2.387768183948055025e+02,6.036626228333153676e+01,1.183893253751535326e+02,6.323434892126726936e+00
2.186378675631772239e+00,1.807537553029835067e+02,2.186378675631772239e+00,4.264446989689491829e+01
9.953083174456617144e+01,1.381092854060885884e+02,8.013703112278443541e+01,1.141965961017888276e+00
1.612986473929834119e+01,1.575030860278703244e+02,1.612986473929834119e+01,1.939380062178173603e+01
1.853202257471065195e+01,1.369673194450707001e+02,1.853202257471065195e+01,7.660105716173916335e+01
2.449020712806519668e+02,5.404282739120480983e+01,2.449020712806519668e+02,6.233047259308079902e+00
2.637358840058931264e+02,4.780978013189672993e+01,2.481526181917288341e+02,1.304035659997020957e+01
2.020179048770045256e+02,6.339304594606102228e+01,1.504530935575312469e+02,1.176065763590167990e+01
1.132417090171886684e+02,1.149578572655343010e+02,1.132417090171886684e+02,6.695719545388328697e+00
1.388551041652953586e+02,1.082621377201459723e+02,1.651928098524575717e+01,6.073955098191731850e+00
8.111491697090855268e+00,2.305979609001955737e+02,8.111491697090855268e+00,9.302490080830864372e+01
6.938179955377910346e+01,1.375730600918869300e+02,4.812931443800022180e+01,2.931092237174095771e+01
1.425087634972027217e+01,1.588255452076658116e+02,1.425087634972027217e+01,5.036588336095633167e-01
