batch,sim_id,rank_in_r0,rho_r0,rank_in_migidx,rho_migidx,rank_in_pop,rho_pop
batch_0,0,1,0.8251748251748254,5,0.8181818181818183,2,0.06993006993006995
batch_0,100,3,0.4055944055944056,2,0.7062937062937064,3,0.5664335664335665
batch_0,101,5,0.8671328671328673,8,0.16783216783216784,4,0.3706293706293707
batch_0,102,4,0.006993006993006993,1,0.7342657342657343,3,0.3426573426573427
batch_0,103,7,0.23076923076923078,1,0.8601398601398602,2,0.4755244755244756
batch_0,104,3,-0.3216783216783217,1,0.7342657342657343,4,0.6853146853146854
batch_0,105,5,-0.27272727272727276,4,0.7342657342657343,1,0.7692307692307694
batch_0,106,5,0.034965034965034975,1,0.8531468531468532,4,0.7832167832167832
batch_0,107,4,0.2937062937062937,2,0.8951048951048951,4,0.4895104895104896
batch_0,108,11,0.006993006993006993,2,0.37762237762237766,2,0.5944055944055945
batch_0,109,5,-0.2867132867132868,3,0.6363636363636365,4,0.5594405594405596
batch_0,10,3,0.34965034965034975,1,0.7062937062937064,2,0.6293706293706295
batch_0,110,7,0.2657342657342658,3,0.6643356643356644,1,0.5244755244755246
batch_0,111,3,-0.034965034965034975,1,0.8671328671328673,2,0.18881118881118883
batch_0,112,10,-0.1258741258741259,9,0.4265734265734266,3,0.5664335664335665
batch_0,113,6,0.27272727272727276,2,0.6713286713286714,8,-0.30069930069930073
batch_0,114,2,0.6363636363636365,2,0.7412587412587414,2,0.7412587412587414
batch_0,115,11,-0.6013986013986015,3,0.3636363636363637,2,0.8531468531468532
batch_0,116,1,-0.10489510489510491,1,0.7972027972027973,1,0.7342657342657343
batch_0,117,9,0.3216783216783217,5,0.3846153846153847,2,0.4055944055944056
batch_0,118,10,0.3916083916083916,1,0.7202797202797203,6,0.7552447552447553
batch_0,119,7,0.4755244755244756,1,0.8181818181818183,1,0.7552447552447553
batch_0,11,10,0.17482517482517487,1,0.7132867132867133,2,0.7132867132867133
batch_0,120,1,0.2797202797202798,1,0.8601398601398602,4,0.5734265734265735
batch_0,121,1,0.4685314685314686,1,0.7342657342657343,7,0.6503496503496504
batch_0,122,6,0.4545454545454546,3,0.7972027972027973,3,0.43356643356643365
batch_0,123,1,-0.2027972027972028,9,0.44055944055944063,2,0.5384615384615385
batch_0,124,4,0.06993006993006995,1,0.6993006993006995,2,0.4055944055944056
batch_0,125,6,0.2937062937062937,1,0.5874125874125874,1,0.8461538461538463
batch_0,126,1,0.6503496503496504,9,0.44755244755244755,1,0.2657342657342658
batch_0,127,4,-0.3356643356643357,1,0.7412587412587414,11,0.32867132867132864
batch_0,128,10,-0.6713286713286714,1,0.8811188811188813,3,0.8671328671328673
batch_0,129,1,0.9510489510489512,2,0.5664335664335665,5,0.4685314685314686
batch_0,12,9,-0.055944055944055944,3,0.7342657342657343,2,0.8811188811188813
batch_0,130,7,-0.04895104895104895,1,0.22377622377622378,3,0.8881118881118882
batch_0,131,9,0.34965034965034975,1,0.6153846153846154,1,0.6153846153846154
batch_0,132,3,-0.2027972027972028,3,0.7552447552447553,3,0.8461538461538463
batch_0,133,5,0.4125874125874127,4,0.7692307692307694,2,0.7622377622377624
batch_0,134,8,0.034965034965034975,1,0.22377622377622378,7,0.5244755244755246
batch_0,135,9,-0.6573426573426573,1,0.7062937062937064,4,0.49650349650349657
batch_0,136,12,0.1958041958041958,3,0.6993006993006995,1,0.16083916083916086
batch_0,137,4,-0.14685314685314685,3,0.6433566433566434,2,0.8041958041958043
batch_0,138,8,-0.21678321678321683,4,0.8251748251748254,2,0.6223776223776225
batch_0,139,5,-0.44055944055944063,2,0.7762237762237763,2,0.7202797202797203
batch_0,13,7,0.06993006993006995,6,0.6293706293706295,2,0.7832167832167832
batch_0,140,9,-0.2027972027972028,4,0.7272727272727274,1,0.6013986013986015
batch_0,141,9,0.23076923076923078,3,0.3916083916083916,1,0.5174825174825175
batch_0,142,3,0.5314685314685316,2,0.7132867132867133,2,0.7412587412587414
batch_0,143,8,-0.04895104895104895,1,0.7972027972027973,2,0.30069930069930073
batch_0,144,1,-0.10489510489510491,1,0.7902097902097903,4,0.7342657342657343
batch_0,145,7,-0.04195804195804196,2,0.6153846153846154,9,0.2937062937062937
batch_0,146,2,0.7622377622377624,1,0.3076923076923077,3,0.9160839160839163
batch_0,147,11,-0.3846153846153847,5,0.8181818181818183,1,0.6013986013986015
batch_0,148,9,0.10489510489510491,4,0.6643356643356644,2,0.5454545454545455
batch_0,149,1,0.20979020979020982,3,0.6853146853146854,2,0.7622377622377624
batch_0,14,8,0.006993006993006993,2,0.6153846153846154,4,0.6083916083916086
batch_0,150,3,0.5034965034965035,6,0.3076923076923077,4,0.3916083916083916
batch_0,151,10,0.4895104895104896,3,0.7832167832167832,4,0.8251748251748254
batch_0,152,4,0.14685314685314685,1,0.6013986013986015,9,0.41958041958041964
batch_0,153,5,0.4125874125874127,1,0.4685314685314686,6,0.3636363636363637
batch_0,154,9,-0.6293706293706295,1,0.6363636363636365,9,0.25874125874125875
batch_0,155,10,-0.2517482517482518,2,0.8811188811188813,1,0.7132867132867133
batch_0,156,6,-0.22377622377622378,2,0.5454545454545455,3,0.7552447552447553
batch_0,157,10,0.2027972027972028,1,0.6923076923076924,2,0.8671328671328673
batch_0,158,6,-0.1328671328671329,1,0.5944055944055945,5,0.7062937062937064
batch_0,159,2,0.18881118881118883,3,0.6223776223776225,1,0.8741258741258742
batch_0,15,6,-0.09090909090909093,1,0.6713286713286714,5,0.5104895104895105
batch_0,160,3,-0.2377622377622378,2,0.8951048951048951,2,0.8321678321678322
batch_0,161,2,0.6153846153846154,2,0.4895104895104896,4,0.5244755244755246
batch_0,162,6,0.2657342657342658,1,0.8531468531468532,8,0.2867132867132868
batch_0,163,4,-0.3706293706293707,2,0.8321678321678322,3,0.5874125874125874
batch_0,164,6,-0.006993006993006993,9,0.3216783216783217,1,0.5594405594405596
batch_0,165,5,-0.013986013986013986,7,0.6853146853146854,1,0.3216783216783217
batch_0,166,7,-0.055944055944055944,2,0.6293706293706295,1,0.7272727272727274
batch_0,167,1,0.27272727272727276,2,0.5384615384615385,4,0.6853146853146854
batch_0,168,11,0.27272727272727276,1,0.6923076923076924,5,0.7832167832167832
batch_0,169,2,0.8601398601398602,4,0.027972027972027972,6,-0.06993006993006995
batch_0,16,10,0.2447552447552448,4,0.7062937062937064,3,0.41958041958041964
batch_0,170,5,0.6363636363636365,3,0.3216783216783217,7,0.6083916083916086
batch_0,171,11,-0.49650349650349657,3,0.8671328671328673,1,0.27272727272727276
batch_0,172,2,-0.06293706293706294,3,0.7132867132867133,2,0.8041958041958043
batch_0,173,11,-0.02097902097902098,6,0.6293706293706295,2,0.11188811188811189
batch_0,174,2,0.14685314685314685,8,0.5454545454545455,1,0.7132867132867133
batch_0,175,11,-0.2027972027972028,1,0.7342657342657343,2,0.4265734265734266
batch_0,176,11,0.10489510489510491,1,0.9160839160839163,5,0.6713286713286714
batch_0,177,2,-0.06293706293706294,1,0.8741258741258742,3,0.7972027972027973
batch_0,178,11,-0.08391608391608392,3,0.4825174825174825,1,0.4825174825174825
batch_0,179,1,0.04195804195804196,1,0.7832167832167832,7,0.49650349650349657
batch_0,17,1,0.2867132867132868,1,0.6293706293706295,4,0.35664335664335667
batch_0,180,10,-0.21678321678321683,1,0.8111888111888113,2,0.6433566433566434
batch_0,181,1,0.46153846153846156,2,0.9020979020979022,1,0.8111888111888113
batch_0,182,5,-0.25874125874125875,1,0.9160839160839163,6,0.8041958041958043
batch_0,183,3,0.34965034965034975,2,0.8321678321678322,4,0.5664335664335665
batch_0,184,8,-0.23076923076923078,2,0.6853146853146854,1,0.6573426573426573
batch_0,185,8,-0.34965034965034975,3,0.7552447552447553,5,0.21678321678321683
batch_0,186,9,-0.5874125874125874,2,0.7342657342657343,1,0.6573426573426573
batch_0,187,9,-0.055944055944055944,5,0.4825174825174825,1,0.6853146853146854
batch_0,188,10,0.10489510489510491,1,0.8671328671328673,1,0.6083916083916086
batch_0,189,8,-0.04895104895104895,1,0.7202797202797203,4,0.5944055944055945
batch_0,18,2,0.04195804195804196,4,0.31468531468531474,2,0.5104895104895105
batch_0,190,8,0.3636363636363637,1,0.8951048951048951,3,0.8811188811188813
batch_0,191,6,0.2867132867132868,2,0.6503496503496504,1,0.6643356643356644
batch_0,192,8,0.1188811188811189,3,0.8671328671328673,2,0.6503496503496504
batch_0,193,12,-0.3636363636363637,1,0.5594405594405596,3,0.7062937062937064
batch_0,194,4,0.1328671328671329,2,0.8181818181818183,2,0.49650349650349657
batch_0,195,3,-0.10489510489510491,2,0.6713286713286714,2,0.7972027972027973
