dataset,migration_rate,pipeline,pipeline_label,R2,Pearson_r,MSE
500_1_0.001,0.001,3_phyddle,Phyddle (Full),0.5170412638250421,0.7202653482209386,0.3385402454299657
500_1_0.001,0.001,4_phyddle,Phyddle (Simplified),0.4601934868100852,0.682568720137479,0.3783889066239093
500_1_0.001,0.001,5_stephy,STEPHY (CBLV-GAT),0.7730607268155628,0.8813463840049278,0.16688265724760243
500_1_0.002,0.002,3_phyddle,Phyddle (Full),0.3983821479870836,0.6461564486594661,0.3892892492696332
500_1_0.002,0.002,4_phyddle,Phyddle (Simplified),0.3759264394178,0.6153861827682545,0.40381967794916707
500_1_0.002,0.002,5_stephy,STEPHY (CBLV-GAT),0.7220236687717906,0.8503025347906069,0.18593197051324523
500_1_0.003,0.003,3_phyddle,Phyddle (Full),0.4934306319350512,0.7081691075241501,0.36389061370287995
500_1_0.003,0.003,4_phyddle,Phyddle (Simplified),0.38002855499412136,0.6314959050044018,0.44535220940789594
500_1_0.003,0.003,5_stephy,STEPHY (CBLV-GAT),0.6961423632548306,0.8343917484354053,0.19527610639955958
500_1_0.004,0.004,3_phyddle,Phyddle (Full),0.44600799994081997,0.6686141552609643,0.3733575013679601
500_1_0.004,0.004,4_phyddle,Phyddle (Simplified),0.27980612257857085,0.5309276125288791,0.4853676355254423
500_1_0.004,0.004,5_stephy,STEPHY (CBLV-GAT),0.6570584206946734,0.8145162677562321,0.23405809026451274
500_1_0.005,0.005,3_phyddle,Phyddle (Full),0.4166631649598682,0.6595882287492052,0.380654990982784
500_1_0.005,0.005,4_phyddle,Phyddle (Simplified),0.28744696239935263,0.5530318062423136,0.4649747030348736
500_1_0.005,0.005,5_stephy,STEPHY (CBLV-GAT),0.6100400973257812,0.7896639275866615,0.2591350557326638
500_1_0.006,0.006,3_phyddle,Phyddle (Full),0.439495881924422,0.6755326038321114,0.37743616850368533
500_1_0.006,0.006,4_phyddle,Phyddle (Simplified),0.3272607563514991,0.5722433312881279,0.4530138380470852
500_1_0.006,0.006,5_stephy,STEPHY (CBLV-GAT),0.5769521977032702,0.7637467813794854,0.3033162297118529
